Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
2_,vWA,ASIAN,,6.51903,0.0114521,0.00175672,,36.363,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
2_,vWA,HISPANIC,,7.77461,0.00943043,0.00121298,,39.588,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
2_,TPOX,CAUCASIAN,,2.51447,0.348712,0.138682,,21.969,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
2_,TPOX,BLACK,,8.85899,0.0989762,0.0111724,,25.655,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
2_,TPOX,HISPANIC,,4.94051,0.177477,0.0359229,,30.587,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
2_,TPOX,ASIAN,,3.67557,0.238555,0.0649028,,31.943,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
2_,D18,BLACK,,7.96413,3.22921e-05,4.05469e-06,,40.835,,0.86,0.12,0.02,0.98,0.02,,0.86,0.12,0.02,0.98,0.02
2_,D18,ASIAN,,11.2571,2.6165e-05,2.32432e-06,,37.232,,0.86,0.12,0.02,0.98,0.02,,0.86,0.12,0.02,0.98,0.02
2_,D18,CAUCASIAN,,5.84752,2.34726e-05,4.0141e-06,,39.513,,0.86,0.12,0.02,0.98,0.02,,0.86,0.12,0.02,0.98,0.02
2_,D18,HISPANIC,,6.59216,2.42017e-05,3.67128e-06,,38.142,,0.86,0.12,0.02,0.98,0.02,,0.86,0.12,0.02,0.98,0.02
2_,D5,BLACK,,5.71748,0.0211513,0.00369941,,23.169,,0.81,0.17,0.02,0.98,0.02,,0.81,0.17,0.02,0.98,0.02
2_,D5,HISPANIC,,6.9211,0.0244209,0.00352847,,22.819,,0.81,0.17,0.02,0.98,0.02,,0.81,0.17,0.02,0.98,0.02
2_,D5,ASIAN,,2.5513,0.0273911,0.0107361,,21.309,,0.81,0.17,0.02,0.98,0.02,,0.81,0.17,0.02,0.98,0.02
2_,D5,CAUCASIAN,,4.82652,0.0243977,0.00505493,,23.044,,0.81,0.17,0.02,0.98,0.02,,0.81,0.17,0.02,0.98,0.02
2_,FGA,BLACK,,6.75617,0.000638493,9.45051e-05,,31.373,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
2_,FGA,HISPANIC,,6.96711,0.00060058,8.62021e-05,,25.018,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
2_,FGA,ASIAN,,9.59877,0.000524504,5.46428e-05,,22.64,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
2_,FGA,CAUCASIAN,,8.55458,0.000489075,5.71712e-05,,31.052,,0.84,0.14,0.02,0.98,0.02,,0.84,0.14,0.02,0.98,0.02
Overall:,15 Files,BLACK,,7.0993e+12,4.69112e-32,6.60785e-45,,554.355
Overall:,15 Files,CAUCASIAN,,1.30211e+11,2.67966e-31,2.05793e-42,,554.355
Overall:,15 Files,HISPANIC,,6.8863e+12,6.08656e-32,8.83865e-45,,554.355
Overall:,15 Files,ASIAN,,1.26953e+14,6.70229e-32,5.27935e-46,,554.355
3_,D8,BLACK,,0.917893,0.00440485,0.00479887,,28.667,,0.71,0.27,0.02,0.98,0.02,,0.71,0.27,0.02,0.98,0.02
3_,D8,HISPANIC,,1.74177,0.0166278,0.00954651,,24.994,,0.71,0.27,0.02,0.98,0.02,,0.71,0.27,0.02,0.98,0.02
3_,D8,CAUCASIAN,,1.32502,0.0187015,0.0141141,,27.654,,0.71,0.27,0.02,0.98,0.02,,0.71,0.27,0.02,0.98,0.02
3_,D8,ASIAN,,2.02837,0.0266423,0.0131349,,21.017,,0.71,0.27,0.02,0.98,0.02,,0.71,0.27,0.02,0.98,0.02
3_,D21,BLACK,,0.0459445,5.35314e-06,0.000116513,,36.792,,0.66,0.28,0.06,0.98,0.02,,0.66,0.28,0.06,0.98,0.02
3_,D21,HISPANIC,,0.0460508,2.77084e-06,6.01691e-05,,34.074,,0.66,0.28,0.06,0.98,0.02,,0.66,0.28,0.06,0.98,0.02
3_,D21,CAUCASIAN,,0.0228677,3.34413e-06,0.000146238,,36.242,,0.66,0.28,0.06,0.98,0.02,,0.66,0.28,0.06,0.98,0.02
3_,D21,ASIAN,,0.0429293,7.83381e-06,0.000182482,,33.734,,0.66,0.28,0.06,0.98,0.02,,0.66,0.28,0.06,0.98,0.02
